applicant_id,age,employment_type,years_at_job,annual_income,income_stability,existing_loans,monthly_emi,debt_to_income_ratio,credit_card_utilization,savings_balance,investment_value,property_value,avg_account_balance,bounced_checks,credit_inquiries,risk_score,recommended_credit_limit,emi_to_income_ratio,savings_to_income_ratio,investment_to_income_ratio,effective_utilization,employment_stability,income_consistency,banking_behavior_score,financial_reserves,high_dti_flag,low_savings_flag,credit_seeker_flag,is_salaried,is_self_employed,is_business
APP_0000,65,Salaried,1,1453556,0.7734675561410428,1,38875.5204710513,0.3209413642492037,0.6413595899383291,3968860.409286961,518178.0312426706,6973138.932809987,65978.82422052382,1,3,0.99,578690.7236171309,0.3209413642492037,2.7304489192621135,0.3564898987329491,0.705495548932162,0.06931471805599453,0.8270802417204183,0.4347826086956522,19.23677756662195,0,0,0,1,0,0
APP_0001,26,Business,7,4771300,0.6678079283846635,3,110049.9172702614,0.2767797051627726,0.7475443653422613,2463168.830129831,7874909.713285777,34750592.45776594,401733.82784945343,1,3,0.5120000000000001,1423933.5897948602,0.2767797051627726,0.5162468991951525,1.6504746532990542,0.9718076749449397,0.20794415416798356,0.8066746831992857,0.4347826086956522,15.656650484687596,0,0,0,0,0,1
APP_0002,46,Salaried,3,1893530,0.7290149130500392,2,44358.75047102041,0.2811178094100673,0.7457026186195042,4401187.575145863,2206361.160421995,18477145.03311072,168492.85824275002,4,4,0.5599999999999999,563867.945514266,0.28111780941006737,2.324329466734545,1.1652105646184612,0.894843142343405,0.13862943611198905,0.8300778393633969,0.18518518518518517,24.82617546484082,0,0,0,1,0,0
APP_0003,64,Self-Employed,19,1813033,0.7818287344859693,0,45080.91378965263,0.2983789955703131,0.7184546726309535,5372114.32317034,3153901.2566334587,15951704.33609476,161690.715436846,3,10,0.5544000000000001,536390.0341749202,0.2983789955703131,2.9630538016518946,1.7395718978272643,0.7184546726309535,0.2995732273553991,1.0160436917151185,0.2,31.521157784519612,0,0,1,0,1,0
APP_0004,35,Self-Employed,12,1957472,0.7680700697510774,0,46121.18886479094,0.2827393017000965,0.2369109185584776,4546849.228593664,967234.8512844692,8642432.622394038,323681.86486049794,5,8,0.63,354973.89156312647,0.2827393017000965,2.322816994875873,0.4941244887714712,0.2369109185584776,0.2564949357461537,0.9650761529404237,0.14705882352941177,19.92606946900713,0,0,1,0,1,0
APP_0005,45,Salaried,8,434638,0.9415137402313642,3,6531.2423046415215,0.1803222627927108,0.2687862748690611,1241879.9810478983,772552.4103826901,1665576.6827903995,53719.73549247118,3,10,0.7,116690.9664213669,0.18032226279271085,2.8572742858376357,1.777461727650804,0.34942215732977944,0.21972245773362195,1.1483854532249744,0.2,51.405033873341445,0,0,1,1,0,0
APP_0006,41,Salaried,8,1402018,0.9241041434956774,3,43152.579423897776,0.3693468650807431,0.4195204041123178,1469738.1302804402,2797821.8239695104,7831303.316869205,74349.49569630144,0,1,0.9,329506.3011132037,0.3693468650807431,1.0483018978932084,1.9955676916911982,0.5453765253460131,0.21972245773362195,1.1271505771063712,0.9090909090909091,16.48244443021865,0,0,0,1,0,0
APP_0007,35,Business,14,732909,0.6539069246698,3,15802.391638806586,0.2587343035297411,0.8768627020908946,1943637.4769624595,161727.979759962,5486920.571149148,92991.83310661223,4,4,0.448,166614.32319673992,0.25873430352974114,2.651949255586245,0.22066583949707536,1.139921512718163,0.270805020110221,0.830988202555218,0.18518518518518517,22.205135197723155,0,0,0,0,0,1
APP_0008,46,Salaried,10,2123537,0.7474473263034008,0,68332.72699867497,0.3861447782563241,0.8006823523025552,2460059.4866620474,2338131.0389472847,5537901.905827822,330730.5813431811,5,4,0.504,574375.4357261994,0.3861447782563241,1.1584726268777268,1.101055003490537,0.8006823523025552,0.23978952727983707,0.9266773673442715,0.15625,11.70300756400949,0,0,0,1,0,0
APP_0009,57,Business,7,1482108,0.6495655410364591,1,32336.34938931346,0.2618137090358877,0.7229011829044466,2706157.550974625,297947.3012875094,5806016.568015738,65362.82946299764,2,4,0.7040000000000002,308619.0088313784,0.26181370903588774,1.8258841804879435,0.2010294130302983,0.7951913011948913,0.20794415416798356,0.7846388980439543,0.29411764705882354,15.483632243569078,0,0,0,0,0,1
APP_0010,40,Business,3,918513,0.7927630379378512,0,30111.561781026237,0.3933953481032002,0.5261649356236126,748038.1617954378,1274484.0734174747,8745748.392076831,57230.28230852537,4,9,0.504,170939.5024917358,0.39339534810320037,0.8144012788011034,1.3875514809452612,0.5261649356236126,0.13862943611198905,0.9026633308576029,0.1694915254237288,11.194604971122947,0,0,1,0,0,1
