applicant_id,age,employment_type,years_at_job,annual_income,income_stability,existing_loans,monthly_emi,debt_to_income_ratio,credit_card_utilization,savings_balance,investment_value,property_value,avg_account_balance,bounced_checks,credit_inquiries,risk_score,recommended_credit_limit
APP_0000,65,Salaried,1,1453556,0.7734675561410428,1,38875.5204710513,0.3209413642492037,0.6413595899383291,3968860.4092869605,518178.0312426706,6973138.932809987,65978.82422052382,1,3,0.9900000000000001,578690.7236171309
APP_0001,26,Business,7,4771300,0.6678079283846635,3,110049.9172702614,0.2767797051627726,0.7475443653422613,2463168.830129831,7874909.713285777,34750592.45776594,401733.82784945343,1,3,0.5120000000000001,1423933.5897948602
APP_0002,46,Salaried,3,1893530,0.7290149130500392,2,44358.75047102041,0.28111780941006737,0.7457026186195042,4401187.575145863,2206361.160421995,18477145.03311072,168492.85824275002,4,4,0.5599999999999999,563867.945514266
APP_0003,64,Self-Employed,19,1813033,0.7818287344859693,0,45080.91378965263,0.2983789955703131,0.7184546726309535,5372114.32317034,3153901.2566334587,15951704.336094761,161690.715436846,3,10,0.5544000000000001,536390.0341749202
APP_0004,35,Self-Employed,12,1957472,0.7680700697510774,0,46121.18886479094,0.2827393017000965,0.2369109185584776,4546849.228593664,967234.8512844691,8642432.622394038,323681.86486049794,5,8,0.63,354973.89156312647
APP_0005,45,Salaried,8,434638,0.9415137402313642,3,6531.2423046415215,0.18032226279271085,0.26878627486906115,1241879.9810478985,772552.4103826901,1665576.6827903995,53719.73549247118,3,10,0.7,116690.9664213669
APP_0006,41,Salaried,8,1402018,0.9241041434956774,3,43152.579423897776,0.3693468650807431,0.41952040411231784,1469738.1302804402,2797821.8239695104,7831303.316869205,74349.49569630144,0,1,0.9,329506.3011132037
APP_0007,35,Business,14,732909,0.6539069246698,3,15802.391638806586,0.25873430352974114,0.8768627020908946,1943637.4769624593,161727.979759962,5486920.571149148,92991.83310661223,4,4,0.44800000000000006,166614.32319673992
APP_0008,46,Salaried,10,2123537,0.7474473263034008,0,68332.72699867497,0.3861447782563241,0.8006823523025552,2460059.4866620474,2338131.0389472847,5537901.905827822,330730.5813431811,5,4,0.504,574375.4357261994
APP_0009,57,Business,7,1482108,0.6495655410364591,1,32336.34938931346,0.26181370903588774,0.7229011829044466,2706157.550974625,297947.3012875094,5806016.568015738,65362.82946299764,2,4,0.7040000000000002,308619.0088313784
APP_0010,40,Business,3,918513,0.7927630379378512,0,30111.561781026234,0.39339534810320026,0.5261649356236126,748038.1617954378,1274484.0734174747,8745748.392076831,57230.28230852537,4,9,0.504,170939.5024917358
APP_0011,38,Business,25,1887377,0.7851795891276487,3,62683.69184983091,0.39854480699826844,0.6199024461115628,3010838.5551957623,2135824.7286272137,3942801.8256673375,131651.78156765955,2,0,0.7200000000000001,591566.0671053095
APP_0012,39,Business,8,260321,0.528397234403613,0,3659.300519254255,0.16868253514334633,0.8243360104049023,689613.3675736389,85266.38112465547,817939.4398121409,32615.32886131659,1,8,0.6400000000000001,50000.0
